Property_ID,Habitability_score
0x83ac,76.78
0x25e1,19.82
0x61c8,77.13
0xa7d5,14.91
0x4c30,68.13
0xa86,64.18
0x8015,79.81
0x1a65,82.96
0xc12,31.41
0x32b3,73.77
0x2e41,76.89
0x7838,54.34
0xf8e,91.87
0x1bbf,62.88
0x956d,79.4
0x1b82,92.87
0x9f35,63.84
0x8b49,76.15
0x2c13,81.59
0x84e8,88.75
0x4ea8,90.42
0x5e1e,90.61
0xb583,79.27
0x2bbe,80.06
0x9dd5,77.09
0x9823,68.24
0x9fc3,89.39
0x5887,73.75
0x2eee,86.91
0x46e3,72.31
0xc69f,69.77
0x754f,73.86
0x653c,64.62
0x35cd,58.8
0x45e9,84.54
0x3b44,86.56
0x10dc,78.98
0x7e3d,86.91
0x30d0,91.19
0xa455,71.33
0xb01e,69.99
0x86da,79.56
0xb9f1,79.29
0x8e6e,86.42
0x4318,77.28
0x3e5d,86.95
0x310a,88.37
0x4b37,82.73
0x54ca,93.1
0x91fa,65.4
0x295a,85.75
0x10ed,81.09
0x4946,79.51
0x2ac8,33.35
0x7792,43.24
0x7e81,74.7
0xc392,77.36
0x8afc,69.6
0x5c30,73.74
0x3060,85.26
0xbe63,85.76
0xbc5f,77.44
0x5a68,88.21
0xadc6,66.64
0x72fe,94.33
0x35af,82.17
0x3fb6,73.0
0xbb62,85.68
0x846b,85.51
0x1065,90.9
0x1549,79.68
0x6431,79.48
0x8c5b,72.51
0x8769,77.55
0x1c88,70.78
0x3459,77.95
0xc3a9,77.58
0xb497,65.29
0x81d9,42.03
0x6f14,84.61
0x3b3b,87.33
0xbd55,67.35
0x2ad5,81.76
0x369c,78.81
0x7f08,73.18
0x32bb,65.77
0x6b36,73.99
0x50cf,88.87
0xaaa5,83.83
0x6634,76.77
0x9210,65.53
0x650e,80.5
0x43c4,71.07
0x4e5d,78.0
0x7dae,71.88
0x3ec4,72.91
0x9e8f,86.7
0x8132,71.33
0x5ef1,70.69
0x7158,73.14
0x725d,73.61
0x5f44,75.86
0x58ce,84.27
0x1beb,74.14
0x7650,62.43
0x96de,75.5
0x2054,82.33
0x3a5b,87.04
0xc5ef,79.13
0x4c38,77.93
0x9f64,83.97
0x2f59,68.5
0x3010,76.39
0xc02d,83.48
0x8873,71.51
0x2919,91.52
0x658c,72.99
0x5311,94.19
0x4316,84.47
0x34cf,87.69
0x2923,81.9
0xa15d,64.44
0x16a7,71.57
0x2e2f,71.39
0x2bfa,80.0
0x5546,83.08
0x4ef0,34.59
0x90b9,67.15
0xc24a,75.45
0x3987,71.67
0x9d91,85.14
0x1fc2,88.0
0x938c,73.63
0x5783,85.55
0x1f23,87.15
0x2421,75.14
0x9519,90.16
0x5ff6,81.95
0x5138,69.01
0xdc6,74.78
0x1570,76.13
0x3e39,85.37
0xb84,76.81
0x7348,81.51
0x8a7f,72.57
0x64ac,75.66
0x7a79,70.77
0x1eb6,68.53
0xaf32,87.88
0x3d7f,88.97
0x805c,84.58
0x1d6c,61.31
0x4962,73.42
0x4552,72.41
0xbdfb,71.01
0x73df,57.54
0x96b4,88.49
0x77c8,92.03
0x5d75,65.33
0x46f5,74.55
0x828c,71.31
0x17b4,84.37
0xbd5e,59.96
0x5f55,78.71
0x2a53,82.4
0x413d,35.4
0x5262,75.3
0x4620,68.93
0x9f3e,78.04
0x4f9c,31.84
0xa8d7,87.9
0x3d93,88.36
0x1e05,77.75
0x7c5d,86.74
0x2002,77.44
0xa5c7,76.84
0x5325,85.97
0x6338,90.22
0x23f4,71.21
0x834e,91.44
0x7134,77.01
0x17e2,86.03
0x6064,66.97
0x93a0,25.78
0x52c7,73.61
0x8b32,85.58
0xa57e,81.71
0x9fd1,28.41
0x5afd,79.26
0x22ea,78.7
0x8088,76.52
0xbcc4,80.65
0x1770,91.39
0xc8bf,85.47
0x42b8,52.44
0x86d0,76.12
0x9284,84.32
0xa1ab,71.08
0xc30,64.61
0xab9a,73.35
0x8760,78.99
0x9e1d,73.23
0xc7ac,68.29
0x868d,67.61
0x238e,69.69
0x8db3,28.38
0x8087,70.19
0x1a51,89.91
0x62c4,67.32
0x69be,89.62
0xa097,72.04
0x8872,85.62
0xa87c,71.62
0xb388,93.46
0xb5dc,81.16
0x27da,73.03
0x7a05,60.88
0x4806,83.57
0x6d9f,69.93
0xaf99,80.17
0xe13,73.73
0x4452,73.69
0x2fa1,91.56
0xa534,68.14
0xc34d,65.81
0x4b64,90.16
0x5e98,58.03
0x2e81,81.54
0x17af,73.46
0x124e,88.62
0x466c,76.93
0x1689,34.98
0xbf02,84.42
0x92b2,76.14
0x6a6,78.37
0x6eed,82.18
0xa8be,66.14
0x1c31,79.1
0x5bcc,34.17
0x6ecd,76.51
0xc18b,72.12
0x4a88,71.63
0x346f,72.18
0x964e,86.25
0x539d,86.5
0x2e07,86.19
0x12df,71.59
0x25fa,82.15
0x5369,67.73
0xb4fc,71.96
0x42e2,81.3
0x129b,72.6
0x2375,83.58
0x5ffd,81.91
0x83dc,67.67
0x970a,70.93
0xb3b,73.73
0x9791,68.53
0xaa29,78.67
0x154b,63.05
0x56e5,79.6
0x65b4,80.98
0x8858,67.15
0x492c,76.6
0x6546,58.51
0x27a5,88.35
0xc277,82.6
0x72c8,87.03
0xaf7d,71.57
0x2259,70.63
0x9925,81.69
0x7b55,75.33
0x3a54,32.77
0xc8d2,79.2
0x416e,79.64
0x84b,86.27
0x55aa,35.59
0x6c3f,71.34
0x3676,80.58
0xb596,73.15
0x75e7,26.04
0x7500,93.28
0x89f5,84.22
0x519d,73.33
0x6618,88.31
0x6dae,67.4
0x7fa7,78.94
0x4649,89.94
0xb0a6,77.99
0x9eee,58.1
0x7a5d,71.18
0xad15,67.6
0x4b44,72.44
0xa608,40.26
0x81c4,89.27
0x3965,85.8
0x99f2,83.07
0x13c5,70.8
0xa11,68.69
0x67f0,75.2
0x5215,86.6
0x17f8,81.75
0x2c5d,70.61
0xc3f,66.75
0x923d,89.07
0x2070,68.33
0x2e1d,73.74
0xa71a,71.6
0x2a56,71.17
0x9efd,71.47
0xbfb0,91.93
0x90f7,80.64
0xac95,64.17
0xba1f,79.23
0x3478,47.09
0x4d90,74.03
0x1107,64.27
0x84b7,80.82
0x48ad,78.96
0xc008,71.63
0x8199,88.22
0x8933,44.28
0x7c46,48.84
0x9415,29.6
0x483e,69.22
0xadd2,74.0
0x90b3,67.27
0x8b86,56.42
0xd6f,58.48
0x4282,75.84
0xb028,67.66
0x7a15,77.87
0x4ad4,53.05
0x7fd8,36.34
0x16e8,74.95
0x648d,81.14
0xa216,89.96
0x4258,81.15
0x3585,79.39
0x1224,82.39
0x4a89,69.95
0x8d0f,78.1
0x19e7,74.98
0xb6ed,73.27
0x6799,89.6
0x2d50,76.44
0x863f,71.9
0x10c1,84.04
0xa7fa,69.52
0x51f3,20.23
0x2d22,31.46
0x46ee,83.51
0x956e,45.35
0x7b40,93.75
0xbc45,75.92
0xac7b,49.08
0xc104,58.52
0x453b,76.28
0x8091,87.03
0x770e,67.63
0xb765,16.76
0xc18d,71.02
0x8786,36.94
0x4c4d,75.36
0x591e,77.69
0xb0e3,76.43
0xa48d,82.85
0x5173,77.73
0x5c22,88.1
0xc8ef,75.9
0xb1ef,74.38
0x5ae6,87.73
0x9d53,74.18
0x45fc,91.15
0xc11d,68.56
0x11bc,72.05
0x841a,70.22
0x15cb,72.41
0x9e6d,89.82
0x1484,81.19
0x7a25,74.99
0x6bdd,76.08
0x6568,89.7
0x3fba,73.41
0x137d,55.41
0x516f,76.39
0x5b60,64.71
0x7d1b,63.87
0xbc7,30.41
0x8a36,82.03
0x9dfb,92.98
0x8ae7,76.62
0x8fd4,89.25
0x59eb,81.68
0x3dfb,81.11
0x4da8,83.42
0x3148,75.39
0xea1,39.73
0x4abf,88.02
0x6cec,68.53
0x2eb8,68.92
0x4629,31.05
0x643a,83.65
0x463d,71.0
0x7c63,81.69
0x50b9,77.16
0xc645,73.02
0x9248,76.57
0x6d98,29.54
0x3d1a,76.34
0x9394,68.93
0x2f53,89.16
0x9b77,70.44
0x3653,86.18
0x9021,75.17
0x5466,77.51
0x81c7,82.74
0x5275,86.11
0x9236,43.41
0xac12,77.05
0x3b54,89.6
0xc6dd,76.66
0x10c0,91.41
0x9c31,64.75
0xa255,58.75
0x3efa,74.87
0x975b,73.89
0x900a,83.21
0xa1e7,81.17
0x786a,34.72
0x33dc,71.84
0x692b,84.09
0xbec0,31.27
0x8d30,79.73
0x1b79,65.88
0x5d01,92.44
0x9143,89.57
0x2932,75.32
0xa2af,60.22
0x2900,38.1
0x6657,65.44
0xaa9d,65.65
0xa661,73.66
0x69fe,64.01
0x7589,38.51
0x511e,87.45
0xc2fd,77.24
0x2ded,77.82
0x53a2,89.0
0x7c3e,76.55
0xafde,70.57
0xaf84,72.35
0x3b85,83.71
0xbcb7,81.03
0x3371,64.25
0x430f,77.83
0x759d,80.38
0x5a6c,83.37
0xc307,67.64
0xba25,86.33
0x2239,72.71
0x4d6a,75.72
0x765b,74.75
0x7c98,35.12
0x93d3,80.19
0x2105,80.22
0xb25c,81.39
0xc75f,75.05
0x7c2e,84.91
0x8662,76.36
0x8754,73.81
0xf1e,77.74
0x9213,70.91
0xea4,65.38
0xa14c,58.75
0x93c3,74.31
0x78d9,79.51
0xbbff,72.83
0xe26,77.32
0x916b,80.28
0x5998,24.07
0x4135,75.14
0x6783,63.22
0x2e77,84.66
0x9086,82.47
0x1b7f,77.0
0x83ba,75.95
0x89d4,74.36
0x70da,82.13
0x8e3d,38.96
0xc6eb,79.76
0x40ad,75.83
0x9e13,67.13
0x1da9,67.5
0x850b,89.87
0x131b,79.47
0x4613,80.21
0x9612,69.31
0x6d2,73.06
0x7a84,71.53
0xa937,61.89
0x72e7,82.12
0x1cd2,45.59
0x2a18,74.03
0xa431,71.39
0x3254,77.74
0x330d,76.69
0x295e,27.47
0x4f1a,87.13
0x23ea,67.3
0x4008,73.56
0xb594,74.99
0x4ca7,79.46
0x7e55,71.82
0x1b43,75.27
0x347e,68.07
0x8124,84.09
0xb1a0,85.75
0xc632,72.34
0x809c,86.04
0x7c9c,72.26
0x7482,93.31
0x2f6a,71.96
0x980,33.32
0xbfa9,78.4
0x824,79.03
0x397f,63.59
0x403b,81.35
0xa505,87.52
0x2942,79.68
0x7db,69.19
0x5335,76.74
0x51b9,86.02
0x7741,77.96
0x341e,73.55
0x885f,35.58
0x7784,69.97
0x971,85.84
0x581e,69.45
0xb576,76.2
0x16cc,84.17
0x4481,76.66
0x61be,26.59
0xec8,89.82
0x8d69,80.55
0xa131,78.81
0x94a6,75.63
0xac2d,56.03
0xa305,69.91
0x75c4,87.91
0x11e9,73.0
0xb50e,70.62
0x95ba,35.01
0x8c66,69.93
0xb020,73.38
0x1c58,70.47
0x8048,61.91
0xa9b1,70.94
0x8566,57.99
0x9888,54.84
0x342b,81.69
0x6f7e,68.53
0xaee9,93.12
0x1b32,54.34
0x75ab,63.19
0xc5d6,73.15
0x22b8,96.37
0x98cb,55.6
0xb616,67.93
0x3da4,73.92
0x60c4,87.83
0xbd6d,71.19
0x5ade,79.62
0x7d49,76.97
0x4e9c,74.92
0x36ec,78.51
0x83c2,86.36
0xf09,84.72
0x2362,52.31
0xad3,88.86
0x2487,68.53
0xc229,41.04
0x9f9,66.09
0x59a6,69.4
0x706b,92.51
0x17ea,80.31
0xc932,59.91
0x534d,93.23
0x55df,72.31
0x6aff,84.49
0x447d,80.62
0x4fb2,77.73
0x34c8,62.57
0xa9d6,34.32
0x68d0,69.12
0x3682,66.46
0x50c1,85.0
0xc1ca,40.98
0x2d16,56.51
0x9c6,72.16
0x912,75.04
0x93c7,56.21
0x2d4b,79.79
0x79ab,62.57
0x9567,83.52
0xbc2f,75.54
0x63ce,79.79
0x2715,90.51
0x5110,80.28
0x120a,90.77
0x904e,83.16
0x2144,73.7
0x7685,83.83
0x687e,28.41
0xb3bc,78.58
0xb387,79.09
0x8cc,68.9
0x122b,36.91
0x260f,22.46
0xb4d9,28.46
0x1492,81.4
0x8276,65.75
0xbc5e,73.96
0x550c,72.11
0x2278,77.05
0x584b,75.92
0xbef6,71.2
0x787e,60.75
0x179a,74.82
0x8f63,77.34
0xa0ea,71.19
0x135c,72.59
0x2be9,61.2
0xe48,69.94
0x6697,74.86
0xc542,64.12
0x6588,78.41
0xa9ad,79.95
0x16c7,88.04
0x2d0e,80.86
0xc31d,69.61
0xbf55,76.28
0x4c04,42.82
0x636f,91.27
0x2c1b,74.34
0xb734,49.18
0x4dcb,72.34
0xc23d,87.9
0x434a,91.45
0x11e6,63.75
0x599e,68.57
0xc513,79.07
0xb284,85.4
0xb28c,73.34
0x83e7,30.19
0xa07,60.29
0xc29b,72.17
0x891c,86.73
0x3145,85.05
0x4efc,81.56
0x69e2,68.93
0x8a15,83.58
0x9311,85.47
0x3b52,76.99
0x9fad,84.81
0x1875,84.81
0xa900,73.12
0x56bc,84.25
0x6746,58.3
0x8039,84.21
0xe53,89.01
0xb52f,77.12
0xc1db,71.42
0x330c,76.14
0x74e4,69.47
0x852d,69.76
0x609d,93.34
0x3d09,71.53
0x4954,85.2
0xc5bf,76.31
0xc213,72.94
0x2353,93.01
0x53bf,86.68
0x3f0c,35.01
0x2787,68.71
0xa24f,73.82
0x62c6,69.89
0xc86b,68.01
0x3439,76.22
0xb3f,87.58
0x53ef,89.38
0x2c76,76.68
0x9115,86.17
0x89c,20.56
0x9b23,89.92
0x9e6b,78.0
0x747e,67.28
0x1d9c,81.35
0x806f,24.44
0x491f,57.93
0x9336,72.97
0x12c8,79.78
0x2f30,67.44
0x7202,87.75
0x7481,31.41
0x1858,94.91
0x794,25.03
0x3f85,64.21
0x79a3,79.04
0x4e96,69.29
0x1a6b,89.83
0xae93,61.59
0x3a9a,68.91
0xb9d0,72.94
0x63f5,74.54
0x2be4,64.88
0xc218,78.45
0x9d84,77.26
0x5382,81.75
0x8714,91.32
0x9c2b,75.58
0x88bb,34.67
0xa49a,78.84
0xb359,79.02
0x7a18,85.38
0xb229,77.4
0x74b6,87.08
0xbb3e,82.51
0xb970,65.12
0x1cad,78.15
0x28aa,25.4
0x82b,69.4
0x159f,81.4
0x343b,63.35
0x4de5,77.04
0x3616,82.34
0xc1b9,80.15
0xa0ee,78.34
0x74e1,68.3
0x26bd,82.47
0x42a2,89.44
0x1cb8,70.63
0x4e72,74.56
0x8d29,84.43
0xb1a4,71.4
0x7c0d,72.65
0x1f40,78.36
0xa86b,81.79
0x80b0,76.24
0x79a8,80.52
0x997a,42.17
0x16d6,82.06
0x6bcc,72.15
0xaa8f,79.98
0xb8c5,71.02
0x7879,33.06
0x8dc5,88.58
0x268d,65.16
0x268a,35.97
0x16e3,89.94
0xac53,67.55
0x87e3,78.82
0x200f,78.59
0xc269,81.25
0x5794,87.0
0xaf37,39.07
0x4173,85.45
0x4c09,84.59
0x478c,85.98
0x80c0,77.24
0x6d4f,80.44
0x2a10,68.22
0xaa73,93.28
0x745a,80.03
0x795,86.93
0xbd18,72.78
0x5e49,77.99
0x7e1b,47.69
0x9c67,65.02
0x72b9,61.0
0xb2f0,70.43
0x1358,29.27
0x340e,83.82
0xb83b,76.39
0xbd40,83.58
0x3bf4,61.49
0x67b9,75.83
0xb91f,63.16
0x682a,72.3
0x5d0e,78.95
0xa814,80.78
0x1c4f,38.93
0x7149,74.1
0x3f88,83.42
0x7ced,22.29
0xac81,41.04
0x76b0,86.86
0x9cc8,22.79
0x84da,84.25
0x3d1b,74.11
0xa0b8,81.04
0x977c,55.09
0x6777,87.44
0x365d,86.67
0x6c10,76.76
0x18f0,84.38
0x7521,81.06
0xb73d,87.39
0xb695,20.63
0x8f1,84.55
0xecf,57.78
0xb2b7,71.34
0x59e3,69.41
0x86b5,72.61
0x1c0e,85.08
0x81ba,88.92
0x321a,84.01
0x164b,36.95
0x3f1c,81.18
0x29e3,86.97
0x9bc9,83.31
0x7c02,78.29
0xc0e2,78.82
0x8678,31.54
0x143d,84.44
0x347c,79.62
0xa8fb,86.91
0x25ad,74.8
0x2621,79.21
0xa696,83.07
0x576a,36.91
0x94cb,84.17
0xd33,82.39
0x57ba,30.17
0x9e0c,93.17
0x15e6,75.13
0xbc47,82.58
0x46c9,71.24
0xb373,70.47
0x20fd,77.87
0x4def,89.46
0x8c6d,77.91
0x7a9c,83.08
0x9bd3,73.54
0xa46a,82.58
0xb693,74.22
0x61d2,72.24
0x3baf,91.6
0x22b6,84.09
0x6936,78.82
0x4cf1,88.18
0xc6ff,88.27
0xd25,76.71
0x8442,31.61
0x9e18,71.4
0x375e,76.53
0x6cac,29.41
0x963d,88.68
0xafe8,83.11
0x4d82,63.61
0x74bd,70.38
0x3d74,81.75
0x9e5f,85.91
0x238b,80.3
0x2145,64.77
0x186b,72.31
0xc3cb,77.94
0x9db6,73.62
0x62a6,75.29
0x18ed,71.53
0x3981,79.72
0x1980,86.61
0x7ab5,23.88
0x259e,68.88
0x2d2a,79.8
0x54d2,77.26
0x7df1,72.16
0x2f3d,95.99
0x6a47,59.37
0x8e11,79.17
0x14a0,62.55
0x47e4,39.1
0x5f77,91.58
0x6fe2,19.46
0x320f,89.33
0x1cc7,85.56
0x9648,36.51
0x9c33,85.93
0xbf5,70.32
0x9bd4,79.58
0x5a9b,83.44
0x76fd,80.77
0xc4d3,71.03
0xb1f7,89.42
0x3837,94.05
0x820d,69.79
0x681f,72.38
0x63e3,54.21
0x2cf2,75.01
0x8d15,85.87
0x9e19,60.64
0x1dcf,86.46
0xab8a,81.81
0x9391,90.76
0x5ac5,78.03
0xb64,77.23
0x79dd,84.44
0x803a,70.62
0x79d5,87.86
0x256a,87.49
0x1b53,86.36
0x1f8b,31.26
0x907c,75.21
0x9c1f,87.64
0x650,70.73
0x49db,78.91
0x173d,40.38
0x495c,75.06
0x8251,75.05
0x441f,83.13
0x96d3,72.05
0x377c,91.42
0x6382,73.05
0x983f,77.21
0x1e55,89.06
0x6846,81.9
0x3799,77.67
0x917e,71.26
0x9898,92.01
0x2e54,80.51
0x8ca2,77.71
0x2aeb,76.1
0x7d37,75.03
0x2dd8,61.5
0x49c3,76.57
0x9795,60.24
0x6935,73.67
0x5ddc,72.96
0x7839,82.05
0x9bd5,83.98
0x42e9,86.99
0x139c,87.21
0xbb20,83.42
0x2f08,72.66
0xab1,76.37
0x24f8,77.62
0xb0f8,85.5
0x7aa2,80.55
0x12e6,89.43
0xba7e,73.76
0x4d45,62.89
0x3637,65.87
0xbee5,53.92
0x9396,65.03
0x5f67,66.41
0x6d5,76.6
0x5829,33.94
0x76fb,77.1
0xb305,83.55
0xa791,88.87
0x48d8,54.11
0x8397,63.61
0x7f93,65.14
0x3c85,86.86
0x70ef,84.43
0x4c88,84.74
0x3cff,84.91
0x4dbb,93.44
0xdaf,71.44
0x6aa1,84.12
0x894b,79.13
0x8689,54.91
0xc78a,71.85
0x87d6,47.7
0x166e,74.44
0x3116,87.64
0x2841,72.82
0x1331,32.26
0xb87e,86.48
0x50a8,75.84
0x9087,73.15
0x5337,71.81
0x5042,82.51
0x6848,74.16
0x8558,81.79
0x4fe0,82.96
0x9574,74.95
0x6d8,71.55
0x7fc1,91.61
0x8876,72.68
0x4e42,74.15
0x993d,87.18
0x6b08,71.62
0xa00f,84.34
0x9eb6,71.36
0x8fe3,72.05
0xaead,75.66
0x6a4f,77.88
0x941c,73.82
0xb5e3,69.69
0x7d03,85.9
0x8583,67.92
0x934b,71.32
0x25f2,77.04
0xb3a6,83.25
0x3d55,60.35
0x44c6,94.87
0x9832,74.96
0x9bc,81.74
0x1d88,82.14
0x4a94,86.42
0x1e4b,74.02
0x61ca,71.01
0x7be4,77.29
0x9275,78.41
0x3e2f,71.64
0x15b1,92.06
0x7af2,77.44
0xe8a,74.11
0x9263,81.51
0x48e2,61.15
0xa0d0,56.92
0x92b9,83.8
0x38b2,82.73
0x37fa,64.71
0x26d0,88.88
0xaa58,79.22
0x92b1,74.09
0x459a,39.41
0x3221,77.89
0xa539,79.41
0x2b82,36.91
0xbe56,70.54
0x819,14.6
0x4781,82.58
0x4449,91.49
0x2abe,46.66
0x864f,72.61
0x51a0,73.77
0x5cfa,75.06
0x774a,85.44
0x86e7,71.39
0x11c3,70.48
0x6908,70.38
0x594e,24.8
0x2d32,81.16
0x4ce8,73.66
0xc418,77.9
0x2be5,85.12
0x1c55,87.21
0xb011,73.58
0xa87,69.38
0x8906,88.87
0x5e94,75.52
0xc119,83.73
0xb51a,71.33
0x7f36,78.37
0xbd0b,80.43
0xb948,74.09
0x4d40,84.93
0x80b,43.69
0x79cf,68.43
0xc32d,85.36
0x2780,82.33
0x6160,67.81
0x7c58,59.29
0xc14d,68.69
0x1af4,76.92
0xc013,69.32
0x958c,81.85
0xd40,78.84
0xb2af,73.66
0x47c9,80.33
0x1cd8,73.97
0x80e6,65.64
0x2aba,72.19
0x3aec,77.14
0x503b,77.57
0x8581,64.07
0x5680,88.16
0x9fe1,78.41
0xa384,70.91
0x7e61,78.94
0x851d,60.5
0x6fb3,65.72
0x6287,83.35
0x2dd7,81.33
0xa22d,66.71
0x8351,78.49
0x2568,83.66
0xb581,85.02
0xafae,72.59
0x8542,26.04
0xc151,58.31
0xc92b,61.1
0x9da2,45.58
0x99c1,74.7
0x17a7,78.02
0x5f15,83.18
0xcfc,63.47
0x560e,73.31
0xa7bb,93.39
0x56ac,63.85
0x9ee3,79.27
0x45d2,38.46
0x7ed3,67.43
0x4650,59.96
0x141a,86.56
0x8216,64.21
0xbc22,85.15
0xa789,72.71
0x437c,75.94
0xa406,72.92
0x83bb,58.28
0x21f6,77.6
0xc6d0,74.9
0x842c,86.19
0x7c0,71.52
0xb16a,58.74
0x7c3c,85.38
0xb9f,70.86
0xb993,82.52
0x5b40,67.21
0x9a04,71.69
0x5291,69.93
0x1cbc,79.48
0xb712,76.53
0xad87,68.82
0x54bd,69.59
0xc676,86.39
0xc70c,83.48
0x1438,86.66
0x24b4,59.51
0xa1cc,74.98
0x7025,74.18
0x9e9b,66.3
0xa1a,63.04
0x380f,73.71
0x5737,58.04
0x3d35,74.64
0xabf5,83.15
0x8331,72.47
0x65f3,88.26
0x3511,70.79
0x67d0,81.26
0x246d,72.15
0x2e9f,64.23
0x658f,65.32
0x9987,81.55
0x624d,60.73
0x2f32,75.84
0x1831,77.71
0x537c,72.91
0x37e3,65.14
0x11a5,81.63
0x8783,84.53
0x1dc7,78.71
0x285f,47.09
0x34d1,78.75
0x5d20,72.75
0xac42,84.44
0x65b3,81.69
0x8bc0,69.28
0x99b1,71.5
0x92d2,36.18
0xaa95,69.86
0x112d,82.49
0x1baf,14.47
0xb31f,76.87
0x3592,67.17
0x3452,77.75
0x63cc,70.59
0x56c2,20.97
0x6a72,81.19
0x2904,57.56
0xa500,85.14
0x1751,69.9
0xc92a,74.0
0x845b,67.24
0xc4d0,87.13
0x2bb9,85.28
0xc69b,53.56
0x39d2,71.29
0x1ff9,81.31
0x1692,78.85
