,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Deck,Num,Side,Group,Number,Transported
39,Earth,False,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,F,10,S,38,1,False
40,Earth,True,55 Cancri e,30.0,False,0.0,0.0,,0.0,0.0,G,1,P,39,1,False
41,Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,G,2,P,41,1,True
42,Europa,False,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,B,3,P,43,1,False
43,Earth,True,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,G,3,P,44,1,False
44,Earth,True,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,G,3,P,44,2,True
45,Earth,True,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,G,3,P,44,3,True
46,Mars,False,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,F,10,P,45,1,False
47,Mars,True,,19.0,False,0.0,0.0,0.0,0.0,0.0,F,10,P,45,2,True
48,Earth,False,55 Cancri e,35.0,False,790.0,0.0,0.0,,0.0,E,1,S,50,1,False
49,Earth,False,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,E,2,S,51,1,False
50,Earth,False,TRAPPIST-1e,,False,4.0,0.0,2.0,4683.0,0.0,G,6,S,52,1,False
51,Earth,False,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,F,11,S,53,1,True
52,Europa,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,A,1,S,56,1,True
53,Europa,True,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,A,1,S,56,2,True
54,Europa,False,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,A,1,S,56,3,True
55,Earth,True,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,G,7,S,58,1,False
56,Earth,False,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,F,12,S,61,1,False
57,Earth,False,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,F,13,S,62,1,False
58,Mars,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,F,14,S,64,1,True
59,,True,TRAPPIST-1e,33.0,False,0.0,0.0,,0.0,0.0,E,3,S,64,2,True
60,Earth,False,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,G,6,P,66,1,False
61,Earth,True,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,G,10,S,67,1,True
62,Earth,False,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,G,10,S,67,2,True
63,Earth,False,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,F,15,S,67,3,False
64,Mars,False,TRAPPIST-1e,,False,793.0,0.0,2.0,253.0,0.0,E,4,S,68,1,False
65,Earth,False,TRAPPIST-1e,42.0,False,887.0,0.0,9.0,6.0,0.0,F,16,S,69,1,True
66,Earth,False,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,F,13,P,70,1,False
67,Earth,False,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,F,14,P,71,1,False
68,Earth,False,TRAPPIST-1e,14.0,False,0.0,1.0,0.0,0.0,1063.0,F,17,S,72,1,False
69,Mars,False,PSO J318.5-22,37.0,False,46.0,83.0,738.0,0.0,12.0,D,3,P,73,1,False
70,Europa,False,TRAPPIST-1e,42.0,False,1.0,8397.0,0.0,0.0,506.0,C,3,S,74,1,True
71,Mars,False,TRAPPIST-1e,27.0,False,147.0,0.0,1018.0,0.0,0.0,F,18,S,76,1,True
72,Mars,False,TRAPPIST-1e,28.0,False,14.0,0.0,1295.0,0.0,0.0,F,15,P,77,1,True
73,Europa,False,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,C,4,S,78,1,False
74,Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,G,13,S,81,1,False
75,Mars,False,TRAPPIST-1e,42.0,False,7406.0,0.0,0.0,0.0,0.0,F,16,P,82,1,False
76,Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,F,16,P,82,2,True
77,Mars,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,F,16,P,82,3,True
78,Earth,False,TRAPPIST-1e,24.0,False,688.0,0.0,0.0,0.0,17.0,G,14,S,84,1,True
79,Europa,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,C,5,S,85,1,True
80,Earth,False,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,F,17,P,86,1,False
81,Mars,True,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,E,5,S,88,1,True
82,Earth,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,G,15,S,90,1,True
83,Earth,True,TRAPPIST-1e,26.0,False,,0.0,0.0,0.0,0.0,G,16,S,91,1,True
84,Earth,False,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,F,20,S,91,2,False
85,Earth,False,TRAPPIST-1e,19.0,False,0.0,0.0,670.0,1.0,34.0,G,9,P,92,1,False
86,Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,,0.0,0.0,G,9,P,92,2,True
87,Earth,True,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,G,9,P,92,3,True
88,Europa,False,TRAPPIST-1e,54.0,False,0.0,1208.0,0.0,3.0,637.0,A,2,S,97,1,False
89,Earth,False,TRAPPIST-1e,26.0,False,0.0,856.0,5.0,32.0,0.0,G,11,P,98,1,False
90,Earth,False,TRAPPIST-1e,26.0,False,0.0,2811.0,957.0,0.0,87.0,G,11,P,98,2,True
91,Earth,False,PSO J318.5-22,23.0,False,311.0,427.0,526.0,37.0,0.0,F,19,P,99,1,False
92,Earth,,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,G,12,P,99,2,True
93,Mars,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,,,,101,1,True
94,Earth,False,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,830.0,91.0,F,23,S,102,1,False
95,Earth,False,TRAPPIST-1e,24.0,False,0.0,,0.0,0.0,17.0,F,24,S,103,1,True
96,Earth,True,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,G,18,S,103,2,True
97,Earth,True,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,G,18,S,103,3,False
98,Earth,,TRAPPIST-1e,27.0,False,0.0,0.0,570.0,2.0,131.0,F,21,P,105,1,False
99,Mars,False,TRAPPIST-1e,21.0,False,1743.0,5.0,17.0,0.0,0.0,D,2,S,107,1,False
100,Earth,True,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,G,19,S,108,1,False
101,Earth,False,TRAPPIST-1e,31.0,False,562.0,0.0,326.0,0.0,0.0,G,19,S,108,2,False
102,Earth,False,TRAPPIST-1e,0.0,,0.0,0.0,0.0,0.0,0.0,G,19,S,108,3,True
103,Europa,False,TRAPPIST-1e,32.0,False,0.0,410.0,6.0,3929.0,764.0,,,,110,1,False
104,Europa,,TRAPPIST-1e,40.0,False,0.0,331.0,0.0,0.0,1687.0,B,5,P,110,2,False
105,Europa,False,TRAPPIST-1e,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,B,5,P,110,3,True
106,Europa,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,B,5,P,110,4,True
107,Europa,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,E,6,S,111,1,True
108,Europa,False,55 Cancri e,48.0,True,0.0,2537.0,87.0,17.0,13.0,B,1,S,112,1,True
109,Earth,False,TRAPPIST-1e,64.0,False,0.0,0.0,804.0,0.0,0.0,F,23,P,113,1,True
110,Earth,False,TRAPPIST-1e,27.0,False,82.0,157.0,429.0,238.0,1.0,G,20,S,114,1,False
111,Mars,,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,,F,24,P,115,1,True
112,Europa,False,TRAPPIST-1e,33.0,False,1.0,2223.0,0.0,12.0,404.0,D,4,P,116,1,True
113,,False,TRAPPIST-1e,39.0,False,0.0,2344.0,0.0,65.0,6898.0,A,0,P,119,1,False
114,Europa,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,A,0,P,119,2,True
115,Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,,F,25,P,120,1,True
116,Earth,False,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,699.0,74.0,G,21,S,122,1,False
117,Earth,False,TRAPPIST-1e,18.0,False,55.0,597.0,49.0,0.0,1.0,F,27,P,123,1,False
118,Mars,True,TRAPPIST-1e,67.0,False,0.0,0.0,0.0,0.0,0.0,F,27,S,126,1,True
119,Mars,False,TRAPPIST-1e,35.0,False,701.0,0.0,296.0,0.0,25.0,E,7,S,127,1,False
120,Mars,False,TRAPPIST-1e,61.0,True,2353.0,334.0,9.0,316.0,2.0,D,3,S,128,1,False
121,Mars,False,TRAPPIST-1e,45.0,False,2103.0,6.0,0.0,0.0,0.0,E,8,S,128,2,False
122,Earth,True,PSO J318.5-22,22.0,False,0.0,0.0,,0.0,0.0,G,22,S,129,1,True
123,Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,F,29,S,133,1,True
124,Mars,False,TRAPPIST-1e,36.0,False,2738.0,0.0,0.0,0.0,0.0,D,5,S,133,2,False
125,Earth,False,TRAPPIST-1e,19.0,False,0.0,14.0,730.0,0.0,0.0,G,17,P,134,1,True
126,Earth,False,PSO J318.5-22,47.0,False,97.0,418.0,126.0,25.0,55.0,G,23,S,136,1,False
127,Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,G,18,P,138,1,True
128,Earth,False,,34.0,False,0.0,22.0,0.0,564.0,207.0,E,5,P,138,2,False
129,Europa,True,55 Cancri e,35.0,False,0.0,0.0,0.0,0.0,0.0,C,6,S,139,1,True
130,Earth,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,G,19,P,140,1,True
131,Earth,False,TRAPPIST-1e,26.0,False,440.0,0.0,0.0,0.0,462.0,F,29,P,140,2,False
132,Mars,False,TRAPPIST-1e,31.0,False,,0.0,97.0,0.0,0.0,F,30,P,141,1,False
133,Earth,False,TRAPPIST-1e,20.0,False,0.0,420.0,210.0,0.0,0.0,F,31,S,144,1,True
134,Earth,False,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,G,25,S,146,1,False
135,Earth,True,TRAPPIST-1e,50.0,False,0.0,0.0,0.0,0.0,0.0,G,26,S,147,1,True
136,Mars,False,TRAPPIST-1e,42.0,False,1072.0,0.0,10.0,0.0,76.0,F,31,P,148,1,False
137,Earth,True,55 Cancri e,,False,0.0,0.0,0.0,0.0,0.0,G,27,S,149,1,True
138,Earth,True,55 Cancri e,38.0,False,0.0,0.0,0.0,0.0,0.0,G,20,P,151,1,False
139,Earth,False,,41.0,False,0.0,0.0,0.0,0.0,607.0,F,32,P,152,1,False
140,Earth,False,TRAPPIST-1e,22.0,False,4119.0,0.0,0.0,0.0,61.0,G,22,P,160,1,False
141,Europa,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,B,8,P,163,1,True
142,Europa,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,B,8,P,163,2,True
143,Earth,False,TRAPPIST-1e,57.0,False,50.0,1688.0,0.0,,135.0,G,28,S,164,1,True
144,Earth,True,PSO J318.5-22,17.0,False,0.0,0.0,0.0,0.0,0.0,G,28,S,164,2,False
145,Mars,True,TRAPPIST-1e,35.0,,0.0,0.0,0.0,0.0,0.0,F,37,P,165,1,True
146,Mars,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,F,35,S,167,1,True
147,Mars,False,TRAPPIST-1e,27.0,False,1365.0,0.0,48.0,22.0,137.0,F,35,S,167,2,False
148,Earth,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,G,23,P,169,1,False
149,Earth,False,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,221.0,567.0,E,10,S,170,1,False
150,Earth,True,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,G,30,S,171,1,True
151,Earth,True,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,G,24,P,172,1,True
152,Earth,,TRAPPIST-1e,58.0,False,0.0,985.0,0.0,5.0,0.0,E,11,S,173,1,True
153,Earth,False,55 Cancri e,21.0,False,287.0,0.0,16.0,115.0,175.0,F,38,P,174,1,False
154,Europa,False,TRAPPIST-1e,38.0,False,0.0,10346.0,1.0,14970.0,2111.0,B,2,S,177,1,False
155,Mars,False,TRAPPIST-1e,38.0,False,3414.0,0.0,161.0,28.0,119.0,D,6,S,178,1,False
156,Earth,False,TRAPPIST-1e,19.0,False,1.0,219.0,673.0,2.0,11.0,G,26,P,179,1,True
157,Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,G,26,P,179,2,False
158,Earth,False,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,G,26,P,179,3,True
159,Earth,False,TRAPPIST-1e,20.0,False,0.0,0.0,3.0,299.0,92.0,G,27,P,181,1,False
160,Europa,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,C,3,P,182,1,True
161,Earth,False,TRAPPIST-1e,37.0,False,17.0,146.0,426.0,0.0,232.0,F,36,S,183,1,True
162,Earth,False,TRAPPIST-1e,25.0,False,62.0,0.0,0.0,0.0,956.0,G,28,P,186,1,False
163,Earth,True,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,G,31,S,188,1,True
164,Earth,False,55 Cancri e,49.0,False,84.0,3.0,401.0,202.0,98.0,E,8,P,189,1,False
165,Earth,True,55 Cancri e,11.0,False,0.0,0.0,0.0,0.0,0.0,G,32,S,190,1,False
166,Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,G,29,P,192,1,True
167,Earth,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,G,29,P,192,2,False
168,Earth,False,TRAPPIST-1e,39.0,False,0.0,0.0,10.0,898.0,0.0,G,29,P,192,3,False
169,Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,F,41,P,193,1,True
170,Mars,False,TRAPPIST-1e,23.0,False,,0.0,8.0,1072.0,0.0,F,41,P,193,2,False
171,Mars,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,F,41,P,193,3,True
172,Mars,False,TRAPPIST-1e,39.0,False,406.0,0.0,867.0,0.0,0.0,F,42,P,195,1,True
173,Mars,False,PSO J318.5-22,25.0,False,1052.0,0.0,719.0,0.0,7.0,D,5,P,196,1,False
174,Europa,False,TRAPPIST-1e,36.0,False,0.0,972.0,0.0,795.0,575.0,C,5,P,197,1,False
175,Earth,,PSO J318.5-22,52.0,False,0.0,0.0,0.0,0.0,0.0,G,30,P,198,1,True
176,Earth,True,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,0.0,0.0,G,33,S,199,1,False
177,Earth,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,G,31,P,200,1,True
178,Europa,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,B,3,S,201,1,True
179,Europa,True,TRAPPIST-1e,47.0,False,0.0,0.0,0.0,0.0,0.0,B,3,S,201,2,True
180,Europa,True,55 Cancri e,45.0,False,0.0,0.0,0.0,0.0,0.0,B,9,P,202,1,True
181,Europa,False,55 Cancri e,,False,0.0,2433.0,,878.0,443.0,A,2,P,202,2,True
182,Europa,True,TRAPPIST-1e,51.0,False,0.0,0.0,0.0,0.0,0.0,C,8,S,203,1,True
183,Earth,False,TRAPPIST-1e,29.0,False,0.0,2.0,66.0,0.0,705.0,G,34,S,205,1,False
184,Europa,False,55 Cancri e,,False,2.0,1720.0,12.0,1125.0,122.0,C,9,S,206,1,True
185,Earth,True,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,G,32,P,207,1,False
186,,True,55 Cancri e,24.0,False,0.0,0.0,,0.0,0.0,D,6,P,210,1,True
187,Mars,False,TRAPPIST-1e,29.0,False,902.0,1.0,137.0,0.0,0.0,F,44,P,211,1,True
188,Mars,True,TRAPPIST-1e,11.0,False,0.0,0.0,0.0,0.0,0.0,F,44,P,211,2,True
189,Mars,False,TRAPPIST-1e,17.0,False,848.0,0.0,307.0,182.0,0.0,F,44,P,211,3,False
190,Earth,False,TRAPPIST-1e,13.0,False,192.0,0.0,0.0,51.0,739.0,E,9,P,212,1,False
191,Earth,False,TRAPPIST-1e,35.0,False,147.0,188.0,0.0,10.0,387.0,F,45,P,212,2,False
192,Earth,False,TRAPPIST-1e,21.0,False,367.0,281.0,0.0,0.0,146.0,F,46,P,213,1,False
193,Earth,False,55 Cancri e,21.0,False,0.0,56.0,0.0,0.0,1918.0,F,40,S,216,1,False
194,Earth,False,TRAPPIST-1e,38.0,False,1517.0,0.0,0.0,27.0,0.0,F,47,P,217,1,False
195,Earth,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,G,36,P,219,1,True
196,Earth,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,G,37,P,220,1,True
197,Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,G,37,P,220,2,True
198,Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,G,37,P,220,3,False
199,Earth,False,TRAPPIST-1e,25.0,False,122.0,84.0,,0.0,0.0,E,10,P,220,4,False
200,Earth,False,TRAPPIST-1e,16.0,False,0.0,3.0,0.0,0.0,1099.0,F,48,P,220,5,False
201,Earth,False,55 Cancri e,1.0,False,0.0,0.0,0.0,0.0,0.0,G,37,P,220,6,False
202,Earth,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,G,37,P,220,7,True
203,Mars,False,55 Cancri e,21.0,False,2237.0,0.0,119.0,0.0,0.0,E,13,S,221,1,False
204,Mars,False,TRAPPIST-1e,23.0,False,1215.0,80.0,1.0,2.0,0.0,E,13,S,221,2,False
205,Mars,False,TRAPPIST-1e,33.0,False,1933.0,12.0,188.0,1.0,0.0,E,13,S,221,3,False
206,Mars,True,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,E,13,S,221,4,True
207,Mars,False,TRAPPIST-1e,41.0,False,1230.0,0.0,301.0,43.0,1023.0,E,13,S,221,5,False
208,Mars,False,TRAPPIST-1e,16.0,False,915.0,0.0,221.0,234.0,0.0,E,13,S,221,6,False
209,Mars,True,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,E,13,S,221,7,False
210,Mars,False,TRAPPIST-1e,20.0,False,1406.0,0.0,0.0,11.0,0.0,F,41,S,222,1,False
211,Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,F,41,S,222,2,True
212,Mars,True,TRAPPIST-1e,16.0,False,0.0,0.0,0.0,0.0,0.0,E,14,S,222,3,True
213,Earth,False,TRAPPIST-1e,21.0,False,0.0,2.0,665.0,0.0,9.0,G,35,S,223,1,False
214,Mars,False,TRAPPIST-1e,32.0,True,181.0,0.0,5.0,1634.0,0.0,F,42,S,224,1,False
215,Earth,True,PSO J318.5-22,58.0,False,0.0,0.0,0.0,0.0,0.0,G,38,P,225,1,True
216,Earth,False,TRAPPIST-1e,24.0,False,4.0,7.0,0.0,713.0,79.0,F,43,S,229,1,False
217,Mars,False,TRAPPIST-1e,30.0,False,85.0,0.0,1.0,1720.0,0.0,F,44,S,231,1,False
218,Earth,True,PSO J318.5-22,27.0,False,0.0,,0.0,0.0,0.0,G,36,S,232,1,False
219,Mars,False,TRAPPIST-1e,32.0,False,56.0,0.0,256.0,1438.0,0.0,F,45,S,233,1,False
220,Earth,False,TRAPPIST-1e,43.0,False,,888.0,0.0,0.0,0.0,F,50,P,234,1,False
221,Europa,True,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,B,11,P,237,1,True
222,Mars,False,TRAPPIST-1e,37.0,False,637.0,0.0,0.0,92.0,319.0,,,,239,1,False
223,Mars,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,F,52,P,240,1,True
224,Europa,,55 Cancri e,33.0,False,0.0,1249.0,0.0,4812.0,1116.0,E,11,P,241,1,False
225,,False,TRAPPIST-1e,18.0,False,313.0,1.0,691.0,283.0,0.0,F,46,S,242,1,False
226,Earth,True,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,G,37,S,243,1,False
227,Mars,True,TRAPPIST-1e,43.0,False,0.0,0.0,0.0,0.0,0.0,,,,244,1,True
228,Mars,True,55 Cancri e,14.0,,0.0,0.0,0.0,0.0,0.0,F,47,S,244,2,True
229,Europa,False,55 Cancri e,46.0,False,0.0,3571.0,0.0,0.0,7.0,C,6,P,245,1,True
230,Europa,False,TRAPPIST-1e,33.0,False,0.0,86.0,796.0,584.0,10912.0,C,6,P,245,2,False
231,Mars,False,TRAPPIST-1e,21.0,False,2947.0,0.0,287.0,27.0,0.0,D,8,P,246,1,False
232,Europa,False,TRAPPIST-1e,33.0,False,0.0,1.0,0.0,8620.0,1063.0,C,10,S,248,1,False
233,Earth,True,PSO J318.5-22,47.0,False,,0.0,0.0,0.0,0.0,G,38,S,250,1,False
234,,True,55 Cancri e,54.0,False,0.0,0.0,0.0,0.0,0.0,C,11,S,251,1,True
235,Earth,False,TRAPPIST-1e,30.0,False,335.0,695.0,541.0,0.0,0.0,F,53,P,252,1,False
236,Earth,False,TRAPPIST-1e,29.0,False,272.0,615.0,0.0,0.0,1.0,G,42,P,253,1,False
237,Earth,False,TRAPPIST-1e,21.0,False,702.0,172.0,408.0,2.0,6.0,F,54,P,254,1,True
238,Europa,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,A,3,S,255,1,True
239,Mars,False,55 Cancri e,21.0,False,1664.0,0.0,,0.0,0.0,F,49,S,257,1,False
240,Mars,True,TRAPPIST-1e,60.0,False,0.0,0.0,0.0,0.0,0.0,F,49,S,257,2,True
241,Earth,False,TRAPPIST-1e,22.0,False,0.0,0.0,313.0,299.0,92.0,F,50,S,258,1,False
242,Europa,False,TRAPPIST-1e,26.0,False,0.0,4810.0,0.0,981.0,2054.0,E,16,S,260,1,False
243,Earth,False,TRAPPIST-1e,26.0,False,66.0,29.0,0.0,0.0,803.0,F,56,P,261,1,False
244,Earth,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,G,43,P,263,1,True
245,Europa,True,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,,0.0,D,8,S,265,1,True
